,DIN_0,DIN_1,DIN_2
2004-07-01,0.0,0.0,0.0
2004-07-02,0.0,0.0,0.0
2004-07-03,0.0,0.0,0.0
2004-07-04,0.0,0.0,0.0
2004-07-05,0.0,0.0,0.0
2004-07-06,0.0,0.0,0.0
2004-07-07,0.0,0.0,0.0
2004-07-08,0.0,0.0,0.0
2004-07-09,0.0,0.0,0.0
2004-07-10,0.0,0.0,0.0
2004-07-11,0.0,0.0,0.0
2004-07-12,0.0,0.0,0.0
2004-07-13,0.0,0.0,0.0
2004-07-14,0.0,0.0,0.0
2004-07-15,0.0,0.0,0.0
2004-07-16,0.0,0.0,0.0
2004-07-17,0.0,0.0,0.0
2004-07-18,0.0,0.0,0.0
2004-07-19,0.0,0.0,0.0
2004-07-20,0.0,0.0,0.0
2004-07-21,0.0,0.0,0.0
2004-07-22,0.0,0.0,0.0
2004-07-23,0.0,0.0,0.0
2004-07-24,0.0,0.0,0.0
2004-07-25,0.0,0.0,0.0
2004-07-26,0.0,0.0,0.0
2004-07-27,0.0,0.0,0.0
2004-07-28,0.0,0.0,0.0
2004-07-29,0.0,0.0,0.0
2004-07-30,0.0,0.0,0.0
2004-07-31,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-08-02,0.0,0.0,0.0
2004-08-03,0.0,0.0,0.0
2004-08-04,0.0,0.0,0.0
2004-08-05,0.0,0.0,0.0
2004-08-06,0.0,0.0,0.0
2004-08-07,0.0,0.0,0.0
2004-08-08,0.0,0.0,0.0
2004-08-09,0.0,0.0,0.0
2004-08-10,0.0,0.0,0.0
2004-08-11,0.0,0.0,0.0
2004-08-12,0.0,0.0,0.0
2004-08-13,0.0,0.0,0.0
2004-08-14,0.0,0.0,0.0
2004-08-15,0.0,0.0,0.0
2004-08-16,0.0,0.0,0.0
2004-08-17,0.0,0.0,0.0
2004-08-18,0.0,0.0,0.0
2004-08-19,0.0,0.0,0.0
2004-08-20,0.0,0.0,0.0
2004-08-21,0.0,0.0,0.0
2004-08-22,0.0,0.0,0.0
2004-08-23,0.0,0.0,0.0
2004-08-24,0.0,0.0,0.0
2004-08-25,0.0,0.0,0.0
2004-08-26,0.0,0.0,0.0
2004-08-27,0.0,0.0,0.0
2004-08-28,0.0,0.0,0.0
2004-08-29,0.0,0.0,0.0
2004-08-30,0.0,0.0,0.0
2004-08-31,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-09-02,0.0,0.0,0.0
2004-09-03,0.0,0.0,0.0
2004-09-04,0.0,0.0,0.0
2004-09-05,0.0,0.0,0.0
2004-09-06,0.0,0.0,0.0
2004-09-07,0.0,0.0,0.0
2004-09-08,0.0,0.0,0.0
2004-09-09,0.0,0.0,0.0
2004-09-10,0.0,0.0,0.0
2004-09-11,0.0,0.0,0.0
2004-09-12,0.0,0.0,0.0
2004-09-13,0.0,0.0,0.0
2004-09-14,0.0,0.0,0.0
2004-09-15,0.0,0.0,0.0
2004-09-16,0.0,0.0,0.0
2004-09-17,0.0,0.0,0.0
2004-09-18,0.0,0.0,0.0
2004-09-19,0.0,0.0,0.0
2004-09-20,0.0,0.0,0.0
2004-09-21,0.0,0.0,0.0
2004-09-22,0.0,0.0,0.0
2004-09-23,0.0,0.0,0.0
2004-09-24,0.0,0.0,0.0
2004-09-25,0.0,0.0,0.0
2004-09-26,0.0,0.0,0.0
2004-09-27,0.0,0.0,0.0
2004-09-28,0.0,0.0,0.0
2004-09-29,0.0,0.0,0.0
2004-09-30,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-10-02,0.0,0.0,0.0
2004-10-03,0.0,0.0,0.0
2004-10-04,0.0,0.0,0.0
2004-10-05,0.0,0.0,0.0
2004-10-06,0.0,0.0,0.0
2004-10-07,0.0,0.0,0.0
2004-10-08,0.0,0.0,0.0
2004-10-09,0.0,0.0,0.0
2004-10-10,0.0,0.0,0.0
2004-10-11,0.0,0.0,0.0
2004-10-12,0.0,0.0,0.0
2004-10-13,0.0,0.0,0.0
2004-10-14,0.0,0.0,0.0
2004-10-15,0.0,0.0,0.0
2004-10-16,0.0,0.0,0.0
2004-10-17,0.0,0.0,0.0
2004-10-18,0.0,0.0,0.0
2004-10-19,0.0,0.0,0.0
2004-10-20,0.5834945586034519,0.5834945586034519,0.5834945586034519
2004-10-21,1.7577716103530214,1.7577716103530214,1.7577716103530214
2004-10-22,3.4064033439633055,3.4064033439633055,3.4064033439633055
2004-10-23,5.195912052064335,5.195912052064335,5.195912052064335
2004-10-24,6.859986407502247,6.859986407502247,6.859986407502247
2004-10-25,8.256716227829706,8.256716227829706,8.256716227829706
2004-10-26,9.342727631864589,9.342727631864589,9.342727631864589
2004-10-27,10.131338540011301,10.131338540011301,10.131338540011301
2004-10-28,10.660688210007516,10.660688210007516,10.660688210007516
2004-10-29,10.975321108669446,10.975321108669446,10.975321108669446
2004-10-30,36.01704554576055,36.01704554576055,36.01704554576055
2004-10-31,51.572720150733396,51.572720150733396,51.572720150733396
2004-11-01,61.37698033001879,61.37698033001879,61.37698033001879
2004-11-02,66.89933308939969,66.89933308939969,66.89933308939969
2004-11-03,69.3362437139038,69.3362437139038,69.3362437139038
2004-11-04,69.51609820343944,69.51609820343944,69.51609820343944
2004-11-05,68.04746517783427,68.04746517783427,68.04746517783427
2004-11-06,65.41718269781825,65.41718269781825,65.41718269781825
2004-11-07,75.84300892264848,75.84300892264848,75.84300892264848
2004-11-08,77.79717243935038,77.79717243935038,77.79717243935038
2004-11-09,76.37248084012073,76.37248084012073,76.37248084012073
2004-11-10,72.9142641089296,72.9142641089296,72.9142641089296
2004-11-11,68.36629858546695,68.36629858546695,68.36629858546695
2004-11-12,63.354014407453285,63.354014407453285,63.354014407453285
2004-11-13,58.269883944956455,58.269883944956455,58.269883944956455
2004-11-14,53.345978644510815,53.345978644510815,53.345978644510815
2004-11-15,48.70889844385421,48.70889844385421,48.70889844385421
2004-11-16,44.41844837514738,44.41844837514738,44.41844837514738
2004-11-17,40.49360212984202,40.49360212984202,40.49360212984202
2004-11-18,36.92937060274198,36.92937060274198,36.92937060274198
2004-11-19,37.64946771490508,37.64946771490508,37.64946771490508
2004-11-20,37.170051456606,37.170051456606,37.170051456606
2004-11-21,35.86813837615499,35.86813837615499,35.86813837615499
2004-11-22,33.85211546742123,33.85211546742123,33.85211546742123
2004-11-23,31.422900506879298,31.422900506879298,31.422900506879298
2004-11-24,28.853753608413495,28.853753608413495,28.853753608413495
2004-11-25,26.332395159850165,26.332395159850165,26.332395159850165
2004-11-26,23.966827910900417,23.966827910900417,23.966827910900417
2004-11-27,21.807610746538252,21.807610746538252,21.807610746538252
2004-11-28,19.86914626316907,19.86914626316907,19.86914626316907
2004-11-29,18.145297764919313,18.145297764919313,18.145297764919313
2004-11-30,16.619581390682118,16.619581390682118,16.619581390682118
2004-12-01,15.271323417327478,15.271323417327478,15.271323417327478
2004-12-02,14.07913653069334,14.07913653069334,14.07913653069334
2004-12-03,13.022715839058181,13.022715839058181,13.022715839058181
2004-12-04,12.083713723744228,12.083713723744228,12.083713723744228
2004-12-05,11.245980271335794,11.245980271335794,11.245980271335794
2004-12-06,10.495552881648054,10.495552881648054,10.495552881648054
2004-12-07,9.820489332822293,9.820489332822293,9.820489332822293
2004-12-08,9.210641205883839,9.210641205883839,9.210641205883839
2004-12-09,10.334640878705232,10.334640878705232,10.334640878705232
2004-12-10,14.683685262807455,14.683685262807455,14.683685262807455
2004-12-11,21.247785463445485,21.247785463445485,21.247785463445485
2004-12-12,28.96622141384499,28.96622141384499,28.96622141384499
