Date,Linear_Average_Load(t),Flow  (Cumecs),Flow(ML),Concentration (mg/L)
2013/12/15,0.00616,0.0986,8.52,0.723004695
2013/12/16,0.00415,0.0719,6.21,0.668276973
2013/12/17,0.00306,0.0545,4.71,0.649681529
2013/12/18,0.00243,0.0447,3.86,0.629533679
2013/12/19,0.00208,0.0396,3.42,0.608187135
2013/12/20,0.00183,0.0359,3.1,0.590322581
2013/12/21,0.00228,0.0463,4,0.57
2013/12/22,0.00254,0.0536,4.63,0.548596112
2013/12/23,0.00256,0.0557,4.81,0.532224532
2013/12/24,0.00242,0.0546,4.72,0.512711864
2013/12/25,0.00268,0.0632,5.46,0.490842491
2013/12/26,0.00301,0.0739,6.38,0.471786834
2013/12/27,0.0022,0.0561,4.85,0.453608247
2013/12/28,0.00165,0.0441,3.81,0.433070866
2013/12/29,0.00124,0.0347,3,0.413333333
2013/12/30,0.00106,0.0312,2.69,0.394052045
2013/12/31,0.00113,0.0353,3.05,0.370491803
2014/1/1,0.00094,0.0307,2.65,0.354716981
2014/1/2,0.00082,0.0282,2.44,0.336065574
2014/1/3,0.00086,0.0317,2.74,0.313868613
2014/1/4,0.00081,0.0319,2.76,0.293478261
2014/1/5,0.00078,0.0331,2.86,0.272727273
2014/1/6,0.00083,0.0376,3.25,0.255384615
2014/1/7,0.00058,0.028,2.42,0.239669421
2014/1/8,0.00064,0.0223,1.93,0.331606218
2014/1/9,0.02909,0.2716,23.47,1.239454623
2014/1/10,5.59852,26.2565,2268.56,2.467873894
2014/1/11,18.4555,52.4787,4534.16,4.070323941
2014/1/12,2.48103,12.965,1120.18,2.214849399
2014/1/13,0.68677,4.436,383.27,1.791869961
2014/1/14,0.24019,1.5982,138.08,1.739498841
2014/1/15,0.13245,0.9107,78.69,1.68318719
2014/1/16,0.11501,0.8168,70.57,1.629729347
2014/1/17,0.09632,0.7067,61.06,1.577464789
2014/1/18,0.06799,0.5159,44.58,1.525123374
2014/1/19,0.04552,0.3512,30.34,1.500329598
2014/1/20,0.03434,0.2656,22.95,1.496296296
2014/1/21,0.03264,0.262,22.64,1.441696113
2014/1/22,0.07309,0.6472,55.91,1.307279556
2014/1/23,0.03316,0.2922,25.25,1.313267327
2014/1/24,0.02079,0.1801,15.56,1.336118252
2014/1/25,0.01854,0.1662,14.36,1.291086351
2014/1/26,0.02178,0.2118,18.3,1.190163934
2014/1/27,0.02651,0.2792,24.13,1.098632408
2014/1/28,0.02996,0.3409,29.46,1.016972166
2014/1/29,0.02852,0.3429,29.63,0.962537968
2014/1/30,0.10653,1.4093,121.77,0.874846021
2014/1/31,5.08728,64.4923,5572.13,0.912986596
2014/2/1,2.38209,27.729,2395.79,0.994281636
2014/2/2,1.08382,13.9254,1203.15,0.900818684
2014/2/3,0.44766,6.3585,549.38,0.814845826
2014/2/4,0.21719,3.464,299.29,0.725684119
2014/2/5,0.12022,2.179,188.27,0.638551017
2014/2/6,0.06507,1.3678,118.18,0.550600778
2014/2/7,0.03991,0.9989,86.31,0.462402966
2014/2/8,0.02477,0.7662,66.2,0.374169184
2014/2/9,0.26712,10.0557,868.81,0.307455025
2014/2/10,0.45165,21.5692,1863.58,0.24235611
2014/2/11,0.095,7.1422,617.08,0.153950865
2014/2/12,0.05185,3.6089,311.81,0.166287162
2014/2/13,0.0329,2.1333,184.31,0.178503608
2014/2/14,0.02268,1.3757,118.86,0.190812721
2014/2/15,0.01753,0.9994,86.35,0.203011002
2014/2/16,0.01495,0.8043,69.49,0.215138869
2014/2/17,0.01401,0.7131,61.61,0.22739815
2014/2/18,0.01343,0.6491,56.08,0.239479315
2014/2/19,0.19225,9.5388,824.15,0.233270642
2014/2/20,0.45061,40.4666,3496.32,0.128881224
2014/2/21,0.27291,30.6605,2649.07,0.10302106
2014/2/22,0.07911,9.9681,861.24,0.091855929
2014/2/23,0.0636,6.2849,543.01,0.117124915
2014/2/24,0.04764,4.5625,394.2,0.120852359
2014/2/25,0.03314,3.1283,270.28,0.122613586
2014/2/26,0.02362,2.1985,189.95,0.124348513
2014/2/27,0.01736,1.5934,137.67,0.126098642
2014/2/28,0.01374,1.2446,107.54,0.127766412
2014/3/1,0.01129,1.0086,87.14,0.129561625
2014/3/2,0.00962,0.8479,73.25,0.131331058
2014/3/3,0.00928,0.8068,69.7,0.133142037
2014/3/4,0.00874,0.7504,64.84,0.134793337
2014/3/5,0.00778,0.6599,57.02,0.136443353
2014/3/6,0.00698,0.5843,50.48,0.138272583
2014/3/7,0.00669,0.553,47.78,0.140016743
2014/3/8,0.00668,0.5458,47.16,0.141645462
2014/3/9,0.00776,0.6258,54.07,0.143517662
2014/3/10,0.04812,3.8309,330.99,0.145382036
2014/3/11,0.04279,3.3705,291.21,0.146938635
2014/3/12,0.02437,1.8986,164.04,0.148561327
2014/3/13,0.01563,1.203,103.94,0.150375216
2014/3/14,0.01119,0.8511,73.53,0.152182783
2014/3/15,0.00879,0.6608,57.09,0.15396742
2014/3/16,0.00738,0.5485,47.39,0.155729057
2014/3/17,0.00651,0.4784,41.33,0.157512703
2014/3/18,0.00583,0.4236,36.6,0.159289617
2014/3/19,0.00533,0.3802,32.85,0.162252664
2014/3/20,0.0054,0.3797,32.81,0.164583968
2014/3/21,0.00937,0.6591,56.95,0.16453029
2014/3/22,0.13151,9.1534,790.85,0.166289435
2014/3/23,0.0907,6.2578,540.68,0.16775172
2014/3/24,0.0446,3.0441,263.01,0.169575301
2014/3/25,0.02985,2.0165,174.22,0.171335094
2014/3/26,0.46536,31.6818,2737.31,0.17000632
2014/3/27,1.75527,141.5116,12226.61,0.143561461
2014/3/28,0.73977,106.1661,9172.75,0.08064866
2014/3/29,0.39976,53.9734,4663.3,0.085724701
2014/3/30,0.23156,18.3475,1585.22,0.146074362
2014/3/31,0.12347,6.7841,586.15,0.210645739
2014/4/1,0.07774,4.158,359.25,0.216395268
2014/4/2,0.05666,3.0981,267.67,0.211678559
2014/4/3,0.04191,2.3429,202.43,0.20703453
2014/4/4,0.03222,1.8426,159.2,0.202386935
2014/4/5,0.02753,1.6124,139.31,0.197616826
2014/4/6,0.02449,1.4683,126.86,0.193047454
2014/4/7,0.02083,1.2797,110.57,0.188387447
2014/4/8,0.01796,1.1311,97.73,0.183771616
2014/4/9,0.01558,1.0069,87,0.17908046
2014/4/10,0.01436,0.9529,82.33,0.174420017
2014/4/11,0.01344,0.9165,79.18,0.169739833
2014/4/12,0.06,4.2418,366.49,0.163715245
2014/4/13,0.5191,37.6895,3256.37,0.159410632
2014/4/14,1.14245,89.6455,7745.37,0.147501023
2014/4/15,0.22495,24.786,2141.51,0.105042704
2014/4/16,0.08762,8.1917,707.76,0.123799028
2014/4/17,0.06013,4.5206,390.58,0.153950535
2014/4/18,0.05155,3.2436,280.25,0.183942908
2014/4/19,0.04765,2.5854,223.38,0.213313636
2014/4/20,0.04345,2.0708,178.91,0.242859538
2014/4/21,0.04013,1.7054,147.35,0.272344757
2014/4/22,0.03882,1.4877,128.53,0.302030654
2014/4/23,0.03945,1.3764,118.92,0.331735621
2014/4/24,0.10751,3.3861,292.56,0.367480175
2014/4/25,0.24192,7.2024,622.29,0.388757653
2014/4/26,0.1439,3.9719,343.17,0.419325699
2014/4/27,0.18686,4.817,416.19,0.44897763
2014/4/28,0.12748,3.0889,266.89,0.477649968
2014/4/29,0.0914,2.0836,180.02,0.507721364
2014/4/30,0.07851,1.6907,146.08,0.537445235
2014/5/1,0.07276,1.4851,128.31,0.567064142
2014/5/2,0.06924,1.3434,116.07,0.596536573
2014/5/3,0.06626,1.2258,105.91,0.625625531
2014/5/4,0.05839,1.0312,89.1,0.655331089
2014/5/5,0.05714,0.9653,83.4,0.685131894
2014/5/6,0.05853,0.948,81.91,0.714564766
2014/5/7,0.05869,0.9132,78.9,0.743852978
2014/5/8,0.05806,0.8687,75.06,0.773514522
2014/5/9,0.05737,0.8271,71.46,0.802826756
2014/5/10,0.05553,0.7721,66.71,0.832408934
2014/5/11,0.05517,0.7411,64.03,0.861627362
2014/5/12,0.05533,0.7185,62.08,0.89126933
2014/5/13,0.0545,0.6867,59.33,0.918590932
2014/5/14,0.05293,0.665,57.46,0.921162548
2014/5/15,0.05251,0.6631,57.29,0.916564846
2014/5/16,0.05079,0.645,55.72,0.911521895
2014/5/17,0.04778,0.6099,52.7,0.906641366
2014/5/18,0.04476,0.5742,49.61,0.902237452
2014/5/19,0.04502,0.5807,50.18,0.897170187
2014/5/20,0.04567,0.592,51.15,0.892864125
2014/5/21,0.0446,0.5814,50.23,0.887915588
2014/5/22,0.04186,0.5487,47.41,0.882936089
2014/5/23,0.03985,0.5252,45.38,0.87814015
2014/5/24,0.03789,0.5019,43.37,0.873645377
2014/5/25,0.03481,0.4635,40.05,0.869163546
2014/5/26,0.033,0.442,38.19,0.86410055
2014/5/27,0.03181,0.4282,37,0.85972973
2014/5/28,0.03058,0.4141,35.78,0.854667412
2014/5/29,0.02911,0.3945,34.09,0.853916104
2014/5/30,0.02804,0.3806,32.89,0.852538766
2014/5/31,0.02767,0.3773,32.6,0.848773006
2014/6/1,0.02728,0.3736,32.28,0.845105328
2014/6/2,0.02783,0.3847,33.23,0.837496238
2014/6/3,0.02741,0.3805,32.88,0.83363747
2014/6/4,0.02609,0.3618,31.26,0.834612924
2014/6/5,0.02505,0.3477,30.04,0.833888149
2014/6/6,0.02432,0.3385,29.25,0.831452991
2014/6/7,0.02438,0.3414,29.5,0.826440678
2014/6/8,0.05306,0.7652,66.11,0.802601724
2014/6/9,0.05985,0.8681,75,0.798
2014/6/10,0.04568,0.6664,57.57,0.793468821
2014/6/11,0.04111,0.6034,52.14,0.788454162
2014/6/12,0.03686,0.5442,47.02,0.783921735
2014/6/13,0.03285,0.4905,42.38,0.775129778
2014/6/14,0.02864,0.4486,38.76,0.738906089
2014/6/15,0.02532,0.42,36.29,0.697712869
2014/6/16,0.02325,0.41,35.42,0.656408809
2014/6/17,0.02124,0.3981,34.4,0.61744186
2014/6/18,0.0188,0.375,32.4,0.580246914
2014/6/19,0.01662,0.3546,30.64,0.542428198
2014/6/20,0.01521,0.3515,30.37,0.500823181
2014/6/21,0.01382,0.3479,30.06,0.459747172
2014/6/22,0.01235,0.3414,29.5,0.418644068
2014/6/23,0.01099,0.3373,29.14,0.377144818
2014/6/24,0.00954,0.3289,28.41,0.335797254
2014/6/25,0.00805,0.3157,27.28,0.295087977
2014/6/26,0.00668,0.3045,26.31,0.253895857
2014/6/27,0.0054,0.2949,25.48,0.211930926
2014/6/28,0.00419,0.2859,24.71,0.169566977
2014/6/29,0.00321,0.298,25.75,0.124660194
2014/6/30,0.00208,0.2875,24.84,0.08373591
2014/7/1,0.001996175,0.2581,22.3,0.089514574
2014/7/2,0.003367893,0.2441,21.09,0.159691465
2014/7/3,0.004659112,0.2323,20.07,0.232143099
2014/7/4,0.005951265,0.2263,19.55,0.304412532
2014/7/5,0.007253993,0.2235,19.31,0.375659917
2014/7/6,0.008698857,0.2249,19.43,0.447702367
2014/7/7,0.010843552,0.244,21.08,0.5144
2014/7/8,0.012247589,0.2425,20.96,0.584331536
2014/7/9,0.012911604,0.2259,19.52,0.661455123
2014/7/10,0.01292791,0.2015,17.41,0.742556577
2014/7/11,0.01385642,0.1958,16.92,0.818937352
2014/7/12,0.017488924,0.2326,20.1,0.870095721
2014/7/13,0.019925784,0.2477,21.4,0.931111402
2014/7/14,0.02130962,0.2472,21.36,0.997641386
2014/7/15,0.022936312,0.2495,21.55,1.064330023
2014/7/16,0.027862261,0.2894,25,1.11449044
2014/7/17,0.031856691,0.3152,27.23,1.169911531
2014/7/18,0.03102399,0.2886,24.94,1.243945068
2014/7/19,0.02893701,0.2528,21.85,1.324348284
2014/7/20,0.029268632,0.243,21,1.393744381
2014/7/21,0.030015305,0.2379,20.56,1.459888375
2014/7/22,0.030581998,0.2327,20.11,1.520735853
2014/7/23,0.030069758,0.2278,19.68,1.527934858
2014/7/24,0.030222752,0.2308,19.94,1.515684654
2014/7/25,0.032212248,0.2487,21.49,1.498941275
2014/7/26,0.031210047,0.2423,20.93,1.491163258
2014/7/27,0.029199645,0.2278,19.68,1.483721799
2014/7/28,0.027643247,0.2169,18.74,1.475093223
2014/7/29,0.026888733,0.2126,18.37,1.463730702
2014/7/30,0.026377504,0.2101,18.15,1.453306006
2014/7/31,0.025804099,0.2072,17.9,1.441569777
2014/8/1,0.027243986,0.2111,18.24,1.493639583
2014/8/2,0.027366037,0.2039,17.62,1.553123553
2014/8/3,0.025542472,0.1893,16.36,1.561275795
2014/8/4,0.023797127,0.1755,15.16,1.569731332
2014/8/5,0.022469189,0.1649,14.25,1.576785193
2014/8/6,0.02162145,0.1584,13.68,1.580515351
2014/8/7,0.020833668,0.1525,13.18,1.580703187
2014/8/8,0.019941367,0.1468,12.68,1.572663013
2014/8/9,0.019077805,0.142,12.27,1.554833333
2014/8/10,0.018687601,0.1399,12.09,1.545707279
2014/8/11,0.01840017,0.1385,11.97,1.537190476
2014/8/12,0.018029337,0.1368,11.82,1.525324619
2014/8/13,0.017823631,0.136,11.75,1.516904766
2014/8/14,0.018064149,0.1379,11.92,1.515448742
2014/8/15,0.028642146,0.2303,19.9,1.439303819
2014/8/16,0.213761037,1.8412,159.08,1.343732946
2014/8/17,0.184687751,1.5967,137.95,1.338802109
2014/8/18,0.090302188,0.7842,67.75,1.332873624
2014/8/19,0.056569434,0.4934,42.63,1.326986488
2014/8/20,0.041160293,0.3543,30.61,1.34466818
2014/8/21,0.032163998,0.2686,23.21,1.385781904
2014/8/22,0.026889271,0.22,19.01,1.414480326
2014/8/23,0.027199546,0.224,19.35,1.405661292
2014/8/24,0.025869446,0.2126,18.37,1.408244203
2014/8/25,0.024304443,0.1991,17.2,1.413049012
2014/8/26,0.022823832,0.186,16.07,1.420275793
2014/8/27,0.02145343,0.1736,15,1.430228667
2014/8/28,0.020162976,0.1614,13.95,1.445374624
2014/8/29,0.019525739,0.1559,13.47,1.449572309
2014/8/30,0.01918261,0.1526,13.19,1.454329795
2014/8/31,0.018763375,0.1489,12.87,1.457915695
2014/9/1,0.018792954,0.1503,12.99,1.446724711
2014/9/2,0.021895765,0.1783,15.41,1.420880273
2014/9/3,0.026470399,0.2216,19.14,1.382988454
2014/9/4,0.028747837,0.2434,21.03,1.366991774
2014/9/5,0.025671362,0.2141,18.5,1.387641189
2014/9/6,0.021373958,0.1738,15.02,1.423033156
2014/9/7,0.018206935,0.1464,12.65,1.439283399
2014/9/8,0.089917415,0.809,69.89,1.286556231
2014/9/9,0.046929191,0.4209,36.37,1.290326945
2014/9/10,0.031399462,0.2703,23.35,1.344730707
2014/9/11,0.026408087,0.2219,19.17,1.377573657
2014/9/12,0.022659655,0.1864,16.11,1.406558349
2014/9/13,0.020917157,0.1702,14.71,1.421968525
2014/9/14,0.019609834,0.1579,13.65,1.436617875
2014/9/15,0.018250359,0.1466,12.67,1.440438753
2014/9/16,0.017084832,0.1387,11.98,1.426112855
2014/9/17,0.017054675,0.1385,11.97,1.424784879
2014/9/18,0.016676263,0.1362,11.76,1.418049575
2014/9/19,0.016667859,0.1362,11.76,1.417334949
2014/9/20,0.016354117,0.1339,11.57,1.413493258
2014/9/21,0.0155399,0.1284,11.09,1.401253381
2014/9/22,0.107188911,0.9663,83.49,1.283853288
2014/9/23,0.261820769,2.388,206.33,1.268941836
2014/9/24,0.112187151,1.0238,88.46,1.268224633
2014/9/25,0.057469817,0.5247,45.34,1.26753015
2014/9/26,0.038689177,0.3464,29.93,1.292655429
2014/9/27,0.031261152,0.2716,23.47,1.331962164
2014/9/28,0.026101073,0.2211,19.1,1.366548325
2014/9/29,0.029522029,0.2568,22.18,1.331020243
2014/9/30,0.028037703,0.2461,21.27,1.318180677
2014/10/1,0.021095391,0.1824,15.76,1.338540038
2014/10/2,0.018805267,0.1639,14.16,1.328055579
2014/10/3,0.017063276,0.1508,13.03,1.309537682
2014/10/4,0.015277955,0.1397,12.07,1.265779205
2014/10/5,0.013634875,0.1295,11.19,1.218487489
2014/10/6,0.012651033,0.1244,10.75,1.176840279
2014/10/7,0.012105852,0.1225,10.59,1.143139943
2014/10/8,0.011560322,0.1205,10.41,1.110501633
2014/10/9,0.010993587,0.1182,10.21,1.076747013
2014/10/10,0.010485746,0.1163,10.05,1.043357811
2014/10/11,0.010994487,0.1238,10.7,1.02752215
2014/10/12,0.014277743,0.1621,14.01,1.019110849
2014/10/13,0.013558589,0.1576,13.62,0.995491116
2014/10/14,0.011155109,0.1352,11.68,0.955060702
2014/10/15,0.009145123,0.1177,10.17,0.899225467
2014/10/16,0.00765207,0.1042,9,0.85023
2014/10/17,0.006752363,0.0967,8.35,0.808666228
2014/10/18,0.006105097,0.0917,7.92,0.770845581
2014/10/19,0.005481789,0.0862,7.45,0.735810604
2014/10/20,0.005040109,0.0831,7.18,0.701965042
2014/10/21,0.004688771,0.0809,6.99,0.67078269
2014/10/22,0.004339407,0.0785,6.79,0.639087923
2014/10/23,0.004101543,0.0775,6.7,0.612170597
2014/10/24,0.003842925,0.076,6.57,0.584920091
2014/10/25,0.00366173,0.076,6.57,0.557340944
2014/10/26,0.003424815,0.0747,6.46,0.530157121
2014/10/27,0.003408034,0.0784,6.77,0.503402363
2014/10/28,0.009837332,0.2375,20.52,0.479402144
2014/10/29,0.018432435,0.4603,39.77,0.463475861
2014/10/30,0.008513809,0.2006,17.33,0.491275765
2014/10/31,0.005398465,0.1291,11.15,0.484167265
2014/11/1,0.003487824,0.0913,7.89,0.442056274
2014/11/2,0.00276162,0.0768,6.63,0.416533937
2014/11/3,0.002566752,0.0734,6.34,0.404850473
2014/11/4,0.002720441,0.0797,6.88,0.395412936
2014/11/5,0.002622963,0.0789,6.82,0.38459868
2014/11/6,0.002461597,0.0766,6.62,0.371842447
2014/11/7,0.002898155,0.0904,7.81,0.371082586
2014/11/8,0.002987293,0.0952,8.23,0.362976063
2014/11/9,0.002530401,0.0851,7.35,0.344272245
2014/11/10,0.002161154,0.0765,6.61,0.326952194
2014/11/11,0.00216298,0.0789,6.81,0.317618209
2014/11/12,0.002294911,0.0855,7.39,0.31054276
2014/11/13,0.001903322,0.0747,6.45,0.295088682
2014/11/14,0.001565681,0.0644,5.57,0.281091741
2014/11/15,0.001511747,0.0647,5.59,0.270437746
2014/11/16,0.001305102,0.0582,5.02,0.259980478
2014/11/17,0.001229946,0.0574,4.96,0.247972984
2014/11/18,0.001451226,0.0712,6.15,0.235971707
2014/11/19,0.001783445,0.0893,7.71,0.231315824
2014/11/20,0.001951514,0.1006,8.69,0.224570081
2014/11/21,0.00147902,0.083,7.17,0.20627894
2014/11/22,0.001160907,0.0699,6.04,0.192203146
2014/11/23,0.000975762,0.063,5.44,0.179368015
2014/11/24,0.000855207,0.0584,5.05,0.169347921
2014/11/25,0.000779181,0.0561,4.85,0.160655876
2014/11/26,0.001033628,0.068,5.88,0.175787075
2014/11/27,0.001109246,0.0647,5.59,0.198433989
2014/11/28,0.001196498,0.063,5.44,0.219944485
2014/11/29,0.00132685,0.063,5.44,0.24390625
2014/11/30,0.001458398,0.0635,5.49,0.265646266
2014/12/1,0.001721898,0.069,5.96,0.28890906
2014/12/2,0.002669187,0.095,8.21,0.325114129
2014/12/3,0.003515716,0.1131,9.77,0.359848106
2014/12/4,0.003921142,0.1174,10.15,0.386319409
2014/12/5,0.004018278,0.1138,9.84,0.408361585
2014/12/6,0.003840178,0.1044,9.02,0.425740355
2014/12/7,0.00326605,0.087,7.51,0.434893475
2014/12/8,0.0032322,0.0825,7.13,0.453323983
2014/12/9,0.003824272,0.0912,7.88,0.485313706
2014/12/10,0.004109113,0.093,8.03,0.511720174
2014/12/11,0.013091266,0.2889,24.96,0.524489824
2014/12/12,0.012374461,0.2502,21.62,0.572361748
2014/12/13,0.03648814,0.7417,64.08,0.569415418
2014/12/14,0.052407025,1.0391,89.78,0.583727166
2014/12/15,0.045548269,0.8677,74.97,0.607553275
2014/12/16,0.091462575,1.6771,144.9,0.631211698
2014/12/17,0.037357841,0.6326,54.66,0.683458489
2014/12/18,0.020852864,0.3091,26.7,0.781006142
2014/12/19,0.018936655,0.2511,21.69,0.873059244
2014/12/20,0.016019263,0.1904,16.45,0.97381538
2014/12/21,0.011608512,0.1279,11.05,1.050544072
2014/12/22,0.009698358,0.1041,8.99,1.078793993
2014/12/23,0.011268185,0.1119,9.67,1.165272492
2014/12/24,0.010055283,0.0968,8.37,1.201348029
2014/12/25,0.009640255,0.0893,7.71,1.250357328
2014/12/26,0.009354554,0.0832,7.19,1.301050626
2014/12/27,0.009459903,0.0804,6.94,1.363098415
2014/12/28,0.007857429,0.0643,5.55,1.415752973
2014/12/29,0.007561826,0.059,5.1,1.48271098
2014/12/30,0.012375635,0.0875,7.56,1.636988757
2014/12/31,0.045728626,0.3166,27.35,1.671979013
2015/1/1,0.060761543,0.4163,35.97,1.689228329
2015/1/2,0.047637414,0.3021,26.1,1.825188276
2015/1/3,0.684313149,4.3367,374.69,1.826344842
2015/1/4,0.650601906,4.0211,347.42,1.872666818
2015/1/5,0.275290111,1.639,141.61,1.944001914
2015/1/6,1.02043014,8.4569,730.68,1.396548612
2015/1/7,1.65512495,8.4411,729.31,2.269439539
2015/1/8,0.723905455,3.6579,316.04,2.290550104
2015/1/9,0.396343005,2.1895,189.17,2.095168394
2015/1/10,0.283484167,1.7441,150.69,1.881240739
2015/1/11,0.247353568,1.6786,145.03,1.705533807
2015/1/12,0.107075532,0.8217,70.99,1.508318524
2015/1/13,0.056688907,0.5021,43.38,1.306798225
2015/1/14,0.037459947,0.3879,33.52,1.117540185
2015/1/15,0.025210132,0.309,26.7,0.9441997
2015/1/16,0.084925226,1.4258,123.19,0.68938409
2015/1/17,0.084720291,1.8949,163.72,0.517470627
2015/1/18,0.172217492,5.1042,441,0.390515855
2015/1/19,0.111918933,2.7965,241.62,0.463202272
2015/1/20,0.097112695,3.3886,292.78,0.331691697
2015/1/21,0.482111282,16.1739,1397.43,0.34499852
2015/1/22,3.800819037,91.6119,7915.26,0.480188779
2015/1/23,3.09315918,54.5461,4712.78,0.656334304
2015/1/24,0.981733707,27.8967,2410.27,0.407312752
2015/1/25,0.15352222,10.9195,943.44,0.162726003
2015/1/26,0.249840571,16.3835,1415.54,0.176498418
2015/1/27,0.113637342,6.0674,524.22,0.216774144
2015/1/28,0.103501989,5.2176,450.8,0.229596249
2015/1/29,0.074496623,3.6433,314.78,0.236662504
2015/1/30,0.042230111,1.9852,171.53,0.246196648
2015/1/31,0.034534623,1.566,135.31,0.255225948
2015/2/1,0.029027072,1.2722,109.92,0.264074527
2015/2/2,0.025535402,1.0817,93.46,0.27322279
2015/2/3,0.031961066,1.3113,113.29,0.282117274
2015/2/4,0.029056393,1.1564,99.92,0.290796567
2015/2/5,0.021623706,0.8347,72.12,0.299829534
2015/2/6,0.016720313,0.6267,54.15,0.30877771
2015/2/7,0.015129972,0.5511,47.61,0.317789792
2015/2/8,0.014399624,0.5101,44.07,0.326744361
2015/2/9,0.013435756,0.4633,40.03,0.335642168
2015/2/10,0.012752135,0.4282,37,0.344652297
2015/2/11,0.012913605,0.4227,36.53,0.353506844
2015/2/12,0.013217144,0.422,36.46,0.362510806
2015/2/13,0.013542625,0.422,36.46,0.371437877
2015/2/14,0.013771281,0.4192,36.22,0.380212065
2015/2/15,0.013989011,0.4161,35.95,0.389124089
2015/2/16,0.016329454,0.4749,41.03,0.397988155
2015/2/17,0.013393988,0.3771,32.59,0.410984597
2015/2/18,0.012026801,0.3252,28.1,0.428000036
2015/2/19,0.011137579,0.2908,25.13,0.443198528
2015/2/20,0.011066624,0.2824,24.4,0.453550164
2015/2/21,0.011610527,0.2943,25.42,0.456747718
2015/2/22,0.012392787,0.3136,27.09,0.45746722
2015/2/23,0.0211956,0.5484,47.38,0.447353314
2015/2/24,0.018941274,0.4855,41.95,0.451520238
2015/2/25,0.01527462,0.3847,33.24,0.459525271
2015/2/26,0.014495274,0.3583,30.95,0.468344879
2015/2/27,0.012977979,0.3124,27,0.480665889
2015/2/28,0.011877511,0.2794,24.14,0.492026139
2015/3/1,0.011119089,0.2564,22.15,0.501990474
2015/3/2,0.010499477,0.2374,20.51,0.511919893
2015/3/3,0.010158077,0.2263,19.55,0.519594731
2015/3/4,0.009859719,0.2165,18.71,0.526975895
2015/3/5,0.009560955,0.207,17.88,0.534729027
2015/3/6,0.010321637,0.2234,19.3,0.534799845
2015/3/7,0.01229366,0.2701,23.33,0.526946421
2015/3/8,0.011533997,0.2484,21.46,0.537464911
2015/3/9,0.011321027,0.2408,20.8,0.544280144
2015/3/10,0.011151156,0.2344,20.25,0.55067437
2015/3/11,0.011826824,0.2482,21.45,0.551367086
2015/3/12,0.016006188,0.3461,29.91,0.535145035
2015/3/13,0.065199052,1.4315,123.68,0.527159217
2015/3/14,0.03568338,0.7776,67.19,0.531081709
2015/3/15,0.020404629,0.4398,38,0.536963921
2015/3/16,0.022753866,0.4802,41.49,0.548418077
2015/3/17,0.072821544,1.5477,133.72,0.544582291
2015/3/18,0.025758839,0.5431,46.93,0.548877882
2015/3/19,0.016027223,0.3263,28.19,0.568542852
2015/3/20,0.010185094,0.1925,16.63,0.612453037
2015/3/21,0.008320161,0.1522,13.15,0.632711863
2015/3/22,0.007281225,0.1336,11.55,0.630409091
2015/3/23,0.010616543,0.1971,17.03,0.623402408
2015/3/24,0.011796537,0.2193,18.95,0.622508549
2015/3/25,0.010972564,0.1996,17.25,0.636090667
2015/3/26,0.01108721,0.1992,17.21,0.64423068
2015/3/27,0.011736497,0.2097,18.12,0.647709547
2015/3/28,0.012533913,0.2229,19.26,0.650774299
2015/3/29,0.011037433,0.1904,16.45,0.670968571
2015/3/30,0.019311133,0.355,30.67,0.629642419
2015/3/31,0.096137333,1.7802,153.81,0.625039549
2015/4/1,0.086336757,1.584,136.86,0.630839961
2015/4/2,0.038737067,0.7027,60.71,0.63806732
2015/4/3,0.023156657,0.4133,35.71,0.648464212
2015/4/4,0.018289985,0.314,27.13,0.674160892
2015/4/5,0.0158903,0.2641,22.82,0.696332165
2015/4/6,0.020727004,0.3464,29.93,0.692516004
2015/4/7,0.100458359,1.7267,149.19,0.673358529
2015/4/8,0.039633256,0.6746,58.29,0.679932338
2015/4/9,0.02236119,0.3718,32.13,0.695959851
2015/4/10,0.01794688,0.2862,24.73,0.725712899
2015/4/11,0.015088736,0.232,20.05,0.752555411
2015/4/12,0.012824536,0.1906,16.46,0.779133414
2015/4/13,0.011657801,0.1689,14.6,0.798479521
2015/4/14,0.010975958,0.1555,13.44,0.816663542
2015/4/15,0.010641973,0.149,12.87,0.826882129
2015/4/16,0.012940767,0.1841,15.9,0.813884717
2015/4/17,0.013100186,0.1853,16.01,0.818250219
2015/4/18,0.011528224,0.1621,14.01,0.822856817
2015/4/19,0.010387828,0.147,12.7,0.817939213
2015/4/20,0.010735296,0.1546,13.36,0.80354012
2015/4/21,0.009625315,0.1419,12.26,0.785099103
2015/4/22,0.007634448,0.1181,10.2,0.748475294
2015/4/23,0.006985415,0.1109,9.58,0.729166493
2015/4/24,0.008287892,0.1298,11.22,0.738671301
2015/4/25,0.007386993,0.1196,10.33,0.715100968
2015/4/26,0.005824744,0.0996,8.6,0.677295814
2015/4/27,0.005153923,0.0911,7.87,0.654882211
2015/4/28,0.004640708,0.0846,7.31,0.634843776
2015/4/29,0.004337072,0.0812,7.02,0.617816524
2015/4/30,0.004222595,0.0806,6.97,0.605824247
2015/5/1,0.005715358,0.1054,9.1,0.628061319
2015/5/2,0.005884402,0.1094,9.45,0.622688042
2015/5/3,0.00563378,0.1073,9.27,0.607743258
2015/5/4,0.005025415,0.0992,8.57,0.586396149
2015/5/5,0.00439604,0.0905,7.82,0.562153453
