real_name,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015
113,1622529.9707119176,841344.4595064925,659438.6984849296,193565.89403658526,91701.3610438756,238076.8134199088
114,2630407.3679314232,1396299.7082461044,1220960.054962142,542929.2546940522,323428.4371984223,725081.4149175767
115,2819683.1069404744,1509687.7843425972,1252970.7073640227,459685.07992306567,267640.9879961073,632524.2306281091
116,1899551.2832116508,860898.3904018909,781084.2124407616,322857.54103916546,134036.38433225246,315016.8006549384
117,3265569.7499482604,1881276.2973832248,1589863.6715050193,686994.4140676671,463011.63723771,1042159.3115312103
118,2142819.2026715614,1177099.1193555235,995254.7603443463,385309.3892237197,242150.32161015947,558097.8369633395
119,1822881.5336558332,1045192.7679811365,875294.5137092156,367839.9575806192,246895.31682970712,561993.149699793
120,1580728.2364362779,829636.7612595278,710869.8340563554,275652.8405018433,158059.96880549128,375806.8617043786
121,1713778.5460472545,928418.9893519994,751044.0912526129,263483.52579852566,154429.29623026607,360462.7210020696
122,1277202.7871276545,655483.0992383215,524259.2192290377,167697.81016068754,80834.58787831118,199102.5591531412
123,3039935.5287749693,1636820.2017077392,1423451.9401621053,582463.7122000607,358002.19490526855,826712.9197684501
124,2918640.8502244297,1580289.1239762292,1290408.0670156681,450691.94355031534,264566.65990279417,633528.1823084994
125,2821037.1137867584,1682349.8528446425,1480976.8487177838,676579.7004749738,489645.53760907915,1092610.715763714
126,1781871.2431090462,941480.5349618165,794690.5144845726,299496.16118074267,171959.45119382913,400695.6267544974
127,4085128.551452221,2169190.5367916385,1841996.534277042,768092.1357224649,445373.25574039813,1018292.754214579
128,2946820.278473282,1422593.0569908386,1209304.1902996472,441544.83321324305,193914.68695375824,475046.88508239074
129,1887202.9659119446,1037980.9572987063,842267.0613523631,310591.3411264466,187793.38195946862,445970.1172534198
130,2446608.4020358007,1329406.5388215706,1143399.7987386417,468277.24924770027,290279.91311677836,665084.4637996627
131,2413377.9054334415,1358122.5518749617,1194217.7128786247,511551.24394683534,343081.0870068369,778379.698081553
132,2799459.758710284,1653241.310811573,1399005.9586031013,608436.6920381777,427984.8172432359,956567.5642744056
133,2443765.609509334,1171942.2267797613,1025764.8992756162,397267.425069134,182655.18918104592,441057.5879589476
134,3699676.8218561104,2060430.8865290761,1811002.3641772717,810414.631163373,529853.6007042998,1187220.166421251
135,2657484.053386245,1274882.3423110964,1097187.6296382702,412681.2096708164,182629.99555519153,443166.0217637327
136,2956852.246931507,1779502.3635002542,1529583.2221549496,662351.2138683753,484614.3472173945,1094269.8887104315
137,2413765.5279105534,1260664.0272821186,1058915.2616755494,409616.7739154454,225414.3782152348,526422.9351363855
138,2983026.349167312,1764117.9220774912,1551825.844975749,701295.7309124484,501477.40442454326,1125251.270215214
139,2481789.1436840594,1192853.8440498777,1014477.5068707768,372650.97684893006,160837.99229377403,391574.7050467466
140,1895237.3240920953,986034.8579965164,815643.2775069794,288083.1192618874,153725.58180114743,373131.388870492
141,2294582.5872752634,1279557.531655332,1109781.4709207646,454032.12165692885,298253.4133376433,684151.4430073604
142,1929252.696503404,1007854.3404770686,801987.2212054407,249759.6483772833,126846.95504802144,320491.7588310724
143,1968061.4031900119,1076870.5764083052,951973.8485063084,422550.038536635,268943.1612755827,608211.7635213195
144,2162555.9315763144,1086372.1410422358,886217.4027956858,293034.7382684902,135283.0567855016,337786.0270699456
145,2278625.5990470895,1192605.577919939,1043031.9500511358,425579.50307051314,247135.24701725924,577826.399095744
146,2148744.2609310937,1076716.0755860277,892980.1572849439,313597.65765529533,148851.78982011796,364209.9769974976
147,1840951.23096513,948216.330713983,767739.5074533154,259305.55363879882,128860.85358392476,316844.06087526126
148,3384558.6179126543,1804669.5062030444,1543681.627036791,648223.9129064352,381912.3850223099,870041.728785283
149,1654747.1820072383,924686.9227094464,725913.4419407415,275054.6677245222,166316.06232777092,378083.8765288303
150,2062727.1804650947,1036273.6413528242,841121.1974217317,271393.47422666627,122031.33134532228,314288.2786297519
151,2065223.4867606405,1046299.8184615503,885594.6859345139,344098.78976656555,177614.75345866,409699.38168441266
152,2820190.485569025,1576085.748396676,1365124.9147776598,577413.936447497,377201.08613136027,865660.9328332369
153,3057962.282843589,1713673.554364511,1442160.0193907693,569941.5831807216,370812.9723419247,851719.6318358297
154,3260337.492544749,1762374.1439891357,1525384.4126609452,628564.6166554178,387084.4893935647,886842.0059231012
155,1965325.18089402,1040543.567742923,862432.4054640757,307702.53664885974,173605.31739265428,416192.24714503717
156,3058254.576592928,1728680.92294847,1404158.1761576226,529202.4778223041,340763.3012784394,789637.1960126472
157,2808392.057525888,1473730.5490924532,1290054.082153696,556376.7107379342,324073.70633756154,737054.6230877469
158,2592457.8059601947,1377929.3165934167,1211453.4827353533,529267.1457590064,318787.6620424579,716779.2811696995
159,3095284.382526542,1593034.3307639142,1373975.9054195553,545133.147145176,299108.7411597973,697597.9127401426
160,2277228.7511503645,1200999.9739204422,993560.7906111464,356196.37001884746,197147.15239639778,474913.0714204381
161,2647929.8320179023,1580136.8389756202,1348388.7353065165,568651.8270523994,411499.701331748,929091.3552897517
162,1733985.9462422403,924624.7294550851,728184.0231434078,228614.93810206302,121507.41270353574,304804.3369422365
163,1650330.3261885291,846043.6162062682,689070.2656143216,240735.831839955,119765.56519861777,292176.97589168197
164,1636330.4418698642,845438.5311319064,669302.1346410133,204565.56103282492,97468.72033899212,246292.2941307524
165,2161749.695920309,1050211.074569606,910634.1971541296,354530.2866572728,167444.97697932625,400563.6437407574
166,3188997.752683849,1757995.8454932799,1541014.216206906,660419.1852889996,424515.77978455764,963621.3653348513
167,2947070.8649355453,1552668.509291898,1328591.8380411644,536755.5687493678,309120.7147067645,712697.1570151441
168,1676600.3192342839,897801.9954273875,724256.6205424267,251680.8206411669,142140.52835981833,337464.14617879275
169,2731643.718838398,1503263.1862699275,1290408.0585018774,536438.1691936596,339603.3683990813,777925.6885473813
170,2334450.025237423,1231316.5874087235,1048537.136504133,422798.156156673,243382.2781127484,566107.8654754029
171,1167277.8123179853,588241.9049570011,492106.84759119316,173040.83992629984,85638.42643294985,209017.85699143115
172,1207224.234831362,594846.6349343007,554786.8118173734,271946.1255814266,148841.35799463917,329986.39255283197
173,2479085.695781558,1170996.1338276884,998193.3744082514,363527.1194033264,147641.4631672557,363349.51938561926
174,3003557.518295894,1617513.1999298118,1368534.2791243661,543832.6759882701,325639.2524246932,753118.0659560005
175,1982895.912013903,1096199.3571400975,942155.1784501611,429932.136104403,270952.4993108683,606187.8447744423
176,2168753.126325819,1177225.4956162747,930683.2827452446,292972.8731186059,166827.28262709946,413141.3266551671
177,2666593.359047486,1322430.3958295789,1093854.423067346,402552.5391672497,183964.64967012207,447602.70425281883
178,2210319.420324982,1151026.0520695772,940991.498858792,329474.4260056588,174386.66269387424,422322.9988225196
179,2437733.9066642006,1249399.9142149468,1091806.9498669123,452458.69068595214,249883.78210955672,577113.2832100847
180,2901692.4640469486,1678656.0178813657,1442806.9509391966,613523.6822172876,423834.9276798143,960946.5211271809
181,2210583.0662382324,1177415.3544085464,968901.5911508026,355726.18636668357,201983.7561575675,473638.9772775643
182,2451925.6140030185,1301953.7865899266,1123082.8873978269,481153.2370416936,284386.0860683086,649161.229319627
183,3300092.144884984,1906700.6920763229,1732329.6480939619,808326.9829984261,568149.5200564205,1273076.2241737377
184,2135834.6058234465,971172.998143484,849051.3088907759,318298.26798704476,117470.5737214341,295033.1267117941
185,3680821.4626149614,2028817.1012969324,1759384.2634257688,752385.198932731,480256.8630665584,1095732.0890754343
186,1886048.2116812433,898828.7736463085,810353.1519893552,335723.9418840812,160892.22652605653,382249.93281723274
187,2246006.6684572264,1269422.7627577768,1081028.520863172,434051.2319200603,288579.8553238938,660299.5463197359
188,2219448.5742322076,1194776.1036058564,1017970.1449567118,449398.70361769263,269021.78127579426,597847.8764817527
189,3012837.5560466247,1574571.1524355994,1326858.961354472,524879.6544727503,291715.09535712044,679197.6123631841
190,2102267.771975647,1036773.5685528559,848293.2043119769,276478.77921496046,118602.38855026003,302640.3767032925
191,2490166.068349594,1264418.8925791513,1002836.3753206778,332092.16114462324,150503.55067803853,374001.3057525777
192,1841685.5396339083,829293.0188134008,747097.1051346923,305454.26198643364,121507.23437975996,286747.73258766526
193,3096595.4716884987,1652837.20788729,1388378.077267733,539414.4132278406,315066.0119087738,735974.3332631224
194,1738319.287106215,904995.1914498354,744974.146809521,256477.17557919526,136501.2970052444,331421.3435419827
195,2216472.914649807,1233227.0997673948,1101272.4052231144,483568.2783787139,320821.07809404674,729138.8509293706
196,3423642.2339928984,1816390.3142943324,1568440.2878995896,675139.3487754106,396946.5539869607,899593.3063157625
197,2660516.877375291,1515130.3279006777,1341323.6405560721,621929.1328802166,421405.3283425898,936438.3742003898
198,1977814.4647436389,1041315.6494689647,883857.3853539506,337358.1202582752,193777.17620016684,452749.4166001934
199,2628208.3662391957,1480801.2787653652,1250751.8980702995,529407.0917489215,346019.16623887495,781934.9233805723
200,2863229.6095109037,1373433.246428735,1147065.7864587,394932.68817440775,160605.00732894105,401696.46329012676
201,2745437.720357615,1323043.8730104852,1110412.2637596747,395505.4207666,166633.833212563,408368.9123960437
202,3314446.214202246,1771190.7464884354,1470930.14743479,536041.3194407733,311101.7238856877,735628.2685782198
203,2546027.279593373,1276180.8885521253,1071195.9863537997,407007.2755136312,200624.37448557757,474276.641140042
204,1024194.4989642517,504540.3709651758,431125.0980663301,162837.82894219374,77877.69812471847,183675.80913437103
